,Athelete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
156000,78324,COL,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 5,000 metres",
157000,78863,ISV,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
158000,79317,CHN,2012 Summer,2012,Summer,London,Modern Pentathlon,Modern Pentathlon Women's Individual,
159000,79812,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Individual Medley,
160000,80289,SCG,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Air Rifle, 10 metres",
161000,80791,TTO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,
162000,81330,AUS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,
163000,81843,CZE,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,
164000,82311,AUT,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",
165000,82860,TCH,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Individual All-Around,
166000,83365,ROU,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,
167000,83902,FIN,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Silver
168000,84408,LIB,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",
169000,84953,ROU,1992 Winter,1992,Winter,Albertville,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
170000,85438,ISV,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Women's Windsurfer,
171000,85939,CRC,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Breaststroke,
172000,86420,SWE,1912 Summer,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
173000,86938,USA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,
174000,87406,AUT,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,
175000,87925,POL,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Team All-Around,
176000,88467,NED,1906 Summer,1906,Summer,Athina,Fencing,"Fencing Men's Foil, Individual",
177000,88983,SWE,1968 Winter,1968,Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,
178000,89444,ITA,1928 Summer,1928,Summer,Amsterdam,Boxing,Boxing Men's Lightweight,Gold
179000,89957,SUI,2006 Winter,2006,Winter,Torino,Figure Skating,Figure Skating Men's Singles,
180000,90475,ESP,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
181000,90973,BUL,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,
182000,91465,KOR,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Middleweight,
183000,91977,POL,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
